HITId	AssignmentId	WorkerId	AcceptTime	SubmitTime	articleCategory	articleId	promptId	annotation	readingTime	writingTime	totalTime	annotationLength
3P0I4CQYVY7A0TAXNRVQ5ARYL05OWQ	39U1BHVTDLRV96BAZQBPJ7IABE3T3I	A39A7S4KY5TLW7	2017-11-22T21:30:55Z	2017-11-22T21:31:57Z	tech-hq	1	3	It appears that the products we use everyday are being developed by people under harmful conditions. We cannot expect a good product if the people building it are unhappy and unmotivated.	21784	38764	60548	187
3SR6AEG6W5T4XHJAYFIO6YFDKM5HY8	3GNCZX450INX1ZHOROHF15VJSMUPAR	A24ZHZQ58NADP2	2017-11-22T22:50:37Z	2017-11-22T22:54:45Z	tech-hq	1	1	This is crazy. Apple's new campus looks like a spaceship in a yellow walled prison. It looks like it's creating drama for the neighborhood.	157483	89304	246787	139
3SR6AEG6W5T4XHJAYFIO6YFDKM5HY8	39PAAFCODM0FLFDTJ0HV22AT2ZJTV4	A3MC5OA9RXOOFH	2017-11-22T23:07:28Z	2017-11-22T23:09:20Z	tech-hq	1	3	It doesn't	93310	16583	109893	10
3AC6MFV69KI427TFU1K7K5OFQG9HZZ	3TVSS0C0E10S04DY9AMRO4T797HWTB	A2IFBLO7S1UYTZ	2017-11-22T22:45:46Z	2017-11-22T22:46:45Z	tech-hq	3	5	delete	18597	38455	57052	6
3R15W654VDTXABBEYQGSL45I2UYQLM	39LOEL67OS5CBMJMWS0USBMNX2H839	A298FAWY76NZA9	2017-11-23T00:17:34Z	2017-11-23T00:19:29Z	tech-hq	1	3	Maybe we don't want more construction around us.	79279	34562	113841	48
3R15W654VDTXABBEYQGSL45I2UYQLM	39O5D9O87TSENP9ZD4GZUXI6NT33CB	A2868HFLIU4V0C	2017-11-23T00:19:31Z	2017-11-23T00:23:32Z	tech-hq	1	4		102240	10409	112649	0
3R15W654VDTXABBEYQGSL45I2UYQLM	3PJUZCGDJ6GYQO82D114JOP9XUV89U	AZRN038305HAW	2017-11-23T00:45:39Z	2017-11-23T00:49:28Z	tech-hq	1	5	these enormous projects are crazy and pointless if you want a city all to yourselves go buy one that way you don't ruin some ones town by creating a sub city any one that lives in seattle becouse amazon is doing the same thing 	124750	103651	228401	227
3R15W654VDTXABBEYQGSL45I2UYQLM	3PW9OPU9PQK5F43IT7DAURUNDII12E	A38I92BOVWJZYA	2017-11-23T01:16:00Z	2017-11-23T01:18:16Z	tech-hq	1	2	Apple thought it had a spaceship, but the building is about as adored by beighbors as the death star.	71427	61964	133391	101
3R15W654VDTXABBEYQGSL45I2UYQLM	3GGAI1SQEVYF9BH9JMLEQWRCNKRMCH	A2640WUUMUMYCQ	2017-11-23T01:29:35Z	2017-11-23T01:31:23Z	tech-hq	1	3	Nice article	86458	19235	105693	12
3ABAOCJ4R84HGTTZY2H7LHK72ZOQMO	3RXPCZQMQPBVUYBPSMYZWVOON1E1GO	A3VVS6KT8DSBO	2017-11-23T00:02:30Z	2017-11-23T00:06:54Z	tech-hq	3	4	I believe that the people of Pittsburgh have a valid point of view. It is important for any business to have a relationship with the community that they are a part of. I would like to learn the point of view specific to those drivers who are working for the company and the people who consume the company's service.	135271	126567	261838	315
3ABAOCJ4R84HGTTZY2H7LHK72ZOQMO	38F71OA9GTWMCN1JAOBFY2CFKXDMFM	AJ86CAZX0QCE9	2017-11-23T00:33:31Z	2017-11-23T00:36:31Z	tech-hq	3	3	You might wanna read this story before you use uber again, interesting and eyeopening read.	130903	47631	178534	91
3ABAOCJ4R84HGTTZY2H7LHK72ZOQMO	3S06PH7KSR4SIE1YQWXRQALRA981DO	A38I92BOVWJZYA	2017-11-23T01:18:24Z	2017-11-23T01:19:45Z	tech-hq	3	1	Pittsburgh wants uber out for not keeping promises.	45948	32081	78029	51
3KTCJ4SCVG1TZP9IDNRSKGCZUNX1M5	3P529IW9KYL265JYACA0YPXQKSSFLI	A38I92BOVWJZYA	2017-11-23T01:13:11Z	2017-11-23T01:15:52Z	tech-hq	2	0	Who will have HQ2 for Amazon? New jersey perhaps?	71567	86979	158546	49
3KTCJ4SCVG1TZP9IDNRSKGCZUNX1M5	32Q90QCQ1SLZGL1KU1ET17ZBJRBKE5	A3SEX2FOQEHZ4C	2017-11-23T01:53:41Z	2017-11-23T01:59:20Z	tech-hq	2	2	Amazon is scouting a city for it's second headquarters! This is going to be a great opportunity for the selected city. (I may even relocate there if it's close.)	112404	224656	337060	161
